Pothole Detection Log
Format: [Class, Width, Height, Damage Ratio]
[roadpothole, Width: 150, Height: 50, Damage Ratio: 0.82]
[roadpothole, Width: 56, Height: 173, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 1.00]
[roadpothole, Width: 151, Height: 237, Damage Ratio: 0.92]
[roadpothole, Width: 56, Height: 173, Damage Ratio: 0.97]
[roadpothole, Width: 71, Height: 100, Damage Ratio: 0.93]
[roadpothole, Width: 78, Height: 55, Damage Ratio: 7.71]
[roadpothole, Width: 151, Height: 237, Damage Ratio: 0.92]
[roadpothole, Width: 56, Height: 174, Damage Ratio: 0.97]
[roadpothole, Width: 113, Height: 323, Damage Ratio: 1.01]
[roadpothole, Width: 70, Height: 88, Damage Ratio: 0.99]
[roadpothole, Width: 113, Height: 305, Damage Ratio: 0.97]
[roadpothole, Width: 75, Height: 72, Damage Ratio: 0.86]
[roadpothole, Width: 1, Height: 1, Damage Ratio: 6662.40]
[roadpothole, Width: 56, Height: 127, Damage Ratio: 0.94]
[roadpothole, Width: 139, Height: 293, Damage Ratio: 0.99]
[roadpothole, Width: 120, Height: 273, Damage Ratio: 0.98]
[roadpothole, Width: 59, Height: 97, Damage Ratio: 0.97]
[roadpothole, Width: 5, Height: 7, Damage Ratio: 229.64]
[roadpothole, Width: 142, Height: 67, Damage Ratio: 0.84]
[roadpothole, Width: 52, Height: 85, Damage Ratio: 0.74]
[roadpothole, Width: 113, Height: 273, Damage Ratio: 0.97]
[roadpothole, Width: 139, Height: 62, Damage Ratio: 0.85]
[roadpothole, Width: 57, Height: 98, Damage Ratio: 1.01]
[roadpothole, Width: 68, Height: 41, Damage Ratio: 0.91]
[roadpothole, Width: 69, Height: 114, Damage Ratio: 0.82]
[roadpothole, Width: 107, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 4, Height: 4, Damage Ratio: 441.58]
[roadpothole, Width: 140, Height: 62, Damage Ratio: 0.81]
[roadpothole, Width: 59, Height: 98, Damage Ratio: 1.00]
[roadpothole, Width: 113, Height: 305, Damage Ratio: 0.98]
[roadpothole, Width: 74, Height: 83, Damage Ratio: 0.92]
[roadpothole, Width: 44, Height: 126, Damage Ratio: 0.81]
[roadpothole, Width: 62, Height: 38, Damage Ratio: 0.94]
[roadpothole, Width: 5, Height: 6, Damage Ratio: 979.31]
[roadpothole, Width: 113, Height: 267, Damage Ratio: 0.97]
[roadpothole, Width: 59, Height: 98, Damage Ratio: 0.99]
[roadpothole, Width: 139, Height: 61, Damage Ratio: 0.81]
[roadpothole, Width: 113, Height: 273, Damage Ratio: 0.98]
[roadpothole, Width: 59, Height: 98, Damage Ratio: 0.98]
[roadpothole, Width: 113, Height: 273, Damage Ratio: 0.97]
[roadpothole, Width: 60, Height: 88, Damage Ratio: 0.99]
[roadpothole, Width: 68, Height: 31, Damage Ratio: 0.94]
[roadpothole, Width: 113, Height: 273, Damage Ratio: 1.00]
[roadpothole, Width: 67, Height: 36, Damage Ratio: 0.94]
[roadpothole, Width: 145, Height: 159, Damage Ratio: 0.82]
[roadpothole, Width: 62, Height: 35, Damage Ratio: 0.95]
[roadpothole, Width: 68, Height: 92, Damage Ratio: 0.91]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.96]
[roadpothole, Width: 94, Height: 143, Damage Ratio: 0.71]
[roadpothole, Width: 105, Height: 168, Damage Ratio: 0.82]
[roadpothole, Width: 372, Height: 267, Damage Ratio: 0.81]
[roadpothole, Width: 113, Height: 305, Damage Ratio: 0.95]
[roadpothole, Width: 59, Height: 84, Damage Ratio: 0.96]
[roadpothole, Width: 107, Height: 304, Damage Ratio: 0.98]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.98]
[roadpothole, Width: 12, Height: 3, Damage Ratio: 1429.03]
[roadpothole, Width: 15, Height: 9, Damage Ratio: 381.07]
[roadpothole, Width: 483, Height: 180, Damage Ratio: 0.59]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.99]
[roadpothole, Width: 279, Height: 72, Damage Ratio: 0.64]
[roadpothole, Width: 10, Height: 4, Damage Ratio: 1460.84]
[roadpothole, Width: 111, Height: 15, Damage Ratio: 35.10]
[roadpothole, Width: 23, Height: 6, Damage Ratio: 423.43]
[roadpothole, Width: 33, Height: 11, Damage Ratio: 160.97]
[roadpothole, Width: 35, Height: 14, Damage Ratio: 119.25]
[roadpothole, Width: 492, Height: 178, Damage Ratio: 0.67]
[roadpothole, Width: 304, Height: 66, Damage Ratio: 0.62]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.97]
[roadpothole, Width: 107, Height: 311, Damage Ratio: 0.97]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.96]
[roadpothole, Width: 235, Height: 62, Damage Ratio: 0.72]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.01]
[roadpothole, Width: 113, Height: 298, Damage Ratio: 0.93]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 0.95]
[roadpothole, Width: 31, Height: 20, Damage Ratio: 31.94]
[roadpothole, Width: 159, Height: 136, Damage Ratio: 0.92]
[roadpothole, Width: 75, Height: 57, Damage Ratio: 0.83]
[roadpothole, Width: 171, Height: 236, Damage Ratio: 0.78]
[roadpothole, Width: 60, Height: 125, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 241, Height: 198, Damage Ratio: 0.94]
[roadpothole, Width: 109, Height: 255, Damage Ratio: 0.76]
[roadpothole, Width: 56, Height: 249, Damage Ratio: 0.96]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.01]
[roadpothole, Width: 151, Height: 260, Damage Ratio: 0.93]
[roadpothole, Width: 99, Height: 267, Damage Ratio: 1.02]
[roadpothole, Width: 99, Height: 273, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 98, Damage Ratio: 0.90]
[roadpothole, Width: 62, Height: 189, Damage Ratio: 0.93]
[roadpothole, Width: 203, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 151, Height: 166, Damage Ratio: 0.97]
[roadpothole, Width: 76, Height: 144, Damage Ratio: 0.84]
[roadpothole, Width: 60, Height: 88, Damage Ratio: 0.98]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 43, Height: 27, Damage Ratio: 0.97]
[roadpothole, Width: 76, Height: 105, Damage Ratio: 0.90]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.96]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 113, Height: 323, Damage Ratio: 0.98]
[roadpothole, Width: 99, Height: 25, Damage Ratio: 0.86]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 120, Height: 323, Damage Ratio: 0.98]
[roadpothole, Width: 86, Height: 23, Damage Ratio: 0.97]
[roadpothole, Width: 120, Height: 317, Damage Ratio: 0.97]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 95, Height: 33, Damage Ratio: 0.89]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.01]
[roadpothole, Width: 100, Height: 33, Damage Ratio: 0.91]
[roadpothole, Width: 112, Height: 29, Damage Ratio: 0.98]
[roadpothole, Width: 100, Height: 36, Damage Ratio: 0.95]
[roadpothole, Width: 76, Height: 38, Damage Ratio: 0.91]
[roadpothole, Width: 54, Height: 21, Damage Ratio: 0.97]
[roadpothole, Width: 73, Height: 22, Damage Ratio: 0.87]
[roadpothole, Width: 149, Height: 167, Damage Ratio: 1.00]
[roadpothole, Width: 84, Height: 31, Damage Ratio: 0.90]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 0.99]
[roadpothole, Width: 97, Height: 31, Damage Ratio: 0.91]
[roadpothole, Width: 76, Height: 36, Damage Ratio: 0.93]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 0.99]
[roadpothole, Width: 157, Height: 37, Damage Ratio: 0.86]
[roadpothole, Width: 153, Height: 39, Damage Ratio: 0.88]
[roadpothole, Width: 110, Height: 37, Damage Ratio: 0.87]
[roadpothole, Width: 149, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 91, Height: 34, Damage Ratio: 0.94]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.99]
[roadpothole, Width: 126, Height: 40, Damage Ratio: 0.95]
[roadpothole, Width: 105, Height: 36, Damage Ratio: 0.94]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 1.00]
[roadpothole, Width: 76, Height: 39, Damage Ratio: 0.80]
[roadpothole, Width: 124, Height: 40, Damage Ratio: 0.87]
[roadpothole, Width: 106, Height: 37, Damage Ratio: 0.98]
[roadpothole, Width: 88, Height: 53, Damage Ratio: 0.78]
[roadpothole, Width: 149, Height: 167, Damage Ratio: 0.99]
[roadpothole, Width: 146, Height: 46, Damage Ratio: 0.88]
[roadpothole, Width: 149, Height: 173, Damage Ratio: 0.99]
[roadpothole, Width: 57, Height: 34, Damage Ratio: 0.97]
[roadpothole, Width: 175, Height: 61, Damage Ratio: 0.86]
[roadpothole, Width: 149, Height: 173, Damage Ratio: 0.99]
[roadpothole, Width: 88, Height: 55, Damage Ratio: 0.79]
[roadpothole, Width: 113, Height: 311, Damage Ratio: 1.00]
[roadpothole, Width: 5, Height: 10, Damage Ratio: 322.30]
[roadpothole, Width: 124, Height: 165, Damage Ratio: 0.79]
[roadpothole, Width: 9, Height: 28, Damage Ratio: 59.67]
[roadpothole, Width: 113, Height: 159, Damage Ratio: 0.84]
[roadpothole, Width: 120, Height: 323, Damage Ratio: 0.99]
[roadpothole, Width: 71, Height: 35, Damage Ratio: 0.86]
[roadpothole, Width: 118, Height: 166, Damage Ratio: 0.89]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 1.00]
[roadpothole, Width: 369, Height: 202, Damage Ratio: 0.91]
[roadpothole, Width: 70, Height: 89, Damage Ratio: 0.98]
[roadpothole, Width: 62, Height: 280, Damage Ratio: 0.94]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 1.00]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 299, Height: 197, Damage Ratio: 0.93]
[roadpothole, Width: 56, Height: 253, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 292, Height: 197, Damage Ratio: 0.94]
[roadpothole, Width: 56, Height: 247, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 56, Height: 251, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 56, Height: 255, Damage Ratio: 0.95]
[roadpothole, Width: 143, Height: 268, Damage Ratio: 1.00]
[roadpothole, Width: 280, Height: 123, Damage Ratio: 0.97]
[roadpothole, Width: 71, Height: 96, Damage Ratio: 0.94]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 76, Height: 86, Damage Ratio: 0.81]
[roadpothole, Width: 56, Height: 255, Damage Ratio: 0.96]
[roadpothole, Width: 145, Height: 274, Damage Ratio: 0.98]
[roadpothole, Width: 71, Height: 92, Damage Ratio: 0.95]
[roadpothole, Width: 292, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.96]
[roadpothole, Width: 145, Height: 280, Damage Ratio: 0.99]
[roadpothole, Width: 299, Height: 195, Damage Ratio: 0.94]
[roadpothole, Width: 71, Height: 94, Damage Ratio: 0.93]
[roadpothole, Width: 56, Height: 253, Damage Ratio: 0.96]
[roadpothole, Width: 292, Height: 197, Damage Ratio: 0.94]
[roadpothole, Width: 71, Height: 91, Damage Ratio: 0.97]
[roadpothole, Width: 62, Height: 259, Damage Ratio: 0.93]
[roadpothole, Width: 71, Height: 91, Damage Ratio: 0.96]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 96, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 97, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 92, Damage Ratio: 0.94]
[roadpothole, Width: 261, Height: 116, Damage Ratio: 0.80]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 151, Height: 173, Damage Ratio: 1.00]
[roadpothole, Width: 286, Height: 136, Damage Ratio: 0.81]
[roadpothole, Width: 239, Height: 191, Damage Ratio: 0.82]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 305, Height: 198, Damage Ratio: 0.85]
[roadpothole, Width: 241, Height: 128, Damage Ratio: 0.88]
[roadpothole, Width: 292, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 299, Height: 197, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.94]
[roadpothole, Width: 241, Height: 179, Damage Ratio: 0.87]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 305, Height: 195, Damage Ratio: 0.96]
[roadpothole, Width: 239, Height: 129, Damage Ratio: 0.97]
[roadpothole, Width: 299, Height: 195, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 299, Height: 197, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.94]
[roadpothole, Width: 34, Height: 14, Damage Ratio: 60.71]
[roadpothole, Width: 239, Height: 135, Damage Ratio: 0.90]
[roadpothole, Width: 299, Height: 198, Damage Ratio: 0.89]
[roadpothole, Width: 29, Height: 16, Damage Ratio: 95.14]
[roadpothole, Width: 232, Height: 228, Damage Ratio: 0.83]
[roadpothole, Width: 78, Height: 124, Damage Ratio: 0.80]
[roadpothole, Width: 292, Height: 111, Damage Ratio: 0.90]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 178, Height: 186, Damage Ratio: 0.93]
[roadpothole, Width: 78, Height: 78, Damage Ratio: 0.86]
[roadpothole, Width: 232, Height: 142, Damage Ratio: 0.91]
[roadpothole, Width: 178, Height: 92, Damage Ratio: 0.88]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 77, Damage Ratio: 0.85]
[roadpothole, Width: 239, Height: 141, Damage Ratio: 0.91]
[roadpothole, Width: 63, Height: 117, Damage Ratio: 0.77]
[roadpothole, Width: 79, Height: 88, Damage Ratio: 0.88]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 145, Height: 274, Damage Ratio: 0.99]
[roadpothole, Width: 76, Height: 86, Damage Ratio: 0.90]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 235, Height: 136, Damage Ratio: 0.93]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.01]
[roadpothole, Width: 78, Height: 80, Damage Ratio: 0.90]
[roadpothole, Width: 88, Height: 63, Damage Ratio: 0.82]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 101, Height: 143, Damage Ratio: 0.88]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 171, Height: 91, Damage Ratio: 0.83]
[roadpothole, Width: 2, Height: 3, Damage Ratio: 4501.03]
[roadpothole, Width: 239, Height: 123, Damage Ratio: 0.92]
[roadpothole, Width: 78, Height: 83, Damage Ratio: 0.82]
[roadpothole, Width: 171, Height: 185, Damage Ratio: 0.86]
[roadpothole, Width: 151, Height: 186, Damage Ratio: 1.01]
[roadpothole, Width: 78, Height: 100, Damage Ratio: 0.91]
[roadpothole, Width: 203, Height: 198, Damage Ratio: 0.95]
[roadpothole, Width: 55, Height: 247, Damage Ratio: 0.94]
[roadpothole, Width: 71, Height: 96, Damage Ratio: 0.92]
[roadpothole, Width: 292, Height: 197, Damage Ratio: 0.94]
[roadpothole, Width: 56, Height: 247, Damage Ratio: 0.94]
[roadpothole, Width: 151, Height: 180, Damage Ratio: 1.00]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.96]
[roadpothole, Width: 284, Height: 198, Damage Ratio: 0.90]
[roadpothole, Width: 75, Height: 77, Damage Ratio: 0.82]
[roadpothole, Width: 278, Height: 123, Damage Ratio: 0.91]
[roadpothole, Width: 145, Height: 280, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 278, Height: 122, Damage Ratio: 0.89]
[roadpothole, Width: 291, Height: 198, Damage Ratio: 0.89]
[roadpothole, Width: 71, Height: 94, Damage Ratio: 0.96]
[roadpothole, Width: 273, Height: 195, Damage Ratio: 0.93]
[roadpothole, Width: 56, Height: 248, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 86, Damage Ratio: 0.81]
[roadpothole, Width: 71, Height: 96, Damage Ratio: 0.94]
[roadpothole, Width: 33, Height: 5, Damage Ratio: 292.17]
[roadpothole, Width: 267, Height: 198, Damage Ratio: 0.91]
[roadpothole, Width: 78, Height: 78, Damage Ratio: 0.84]
[roadpothole, Width: 261, Height: 141, Damage Ratio: 0.93]
[roadpothole, Width: 55, Height: 259, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 98, Damage Ratio: 0.93]
[roadpothole, Width: 62, Height: 245, Damage Ratio: 0.88]
[roadpothole, Width: 239, Height: 135, Damage Ratio: 0.89]
[roadpothole, Width: 62, Height: 91, Damage Ratio: 0.91]
[roadpothole, Width: 69, Height: 61, Damage Ratio: 0.79]
[roadpothole, Width: 82, Height: 110, Damage Ratio: 0.71]
[roadpothole, Width: 188, Height: 118, Damage Ratio: 0.91]
